time,processed_feed_pressure
2024-10-07 16:42:21,9.05175
2024-10-07 16:43:21,9.091687
2024-10-07 16:44:21,9.130625
2024-10-07 16:45:21,9.150094
2024-10-07 16:46:21,9.161775
2024-10-07 16:47:21,9.193125
2024-10-07 16:48:21,9.2085
2024-10-07 16:49:21,9.27225
2024-10-07 16:50:21,9.341175
2024-10-07 16:51:21,9.4101
2024-10-07 16:52:21,9.479025
2024-10-07 16:53:21,9.54795
2024-10-07 16:54:21,9.553125
2024-10-07 16:55:21,9.553125
2024-10-07 16:56:21,9.553125
2024-10-07 16:57:21,9.553125
2024-10-07 16:58:21,9.553125
2024-10-07 16:59:21,9.553125
2024-10-07 17:00:21,9.553125
2024-10-07 17:01:21,9.553125
2024-10-07 17:02:21,9.553125
2024-10-07 17:03:21,9.553125
2024-10-07 17:04:21,9.553125
2024-10-07 17:05:21,9.553125
2024-10-07 17:06:21,9.553125
2024-10-07 17:07:21,9.553125
2024-10-07 17:08:21,9.550125
2024-10-07 17:09:21,9.55545
2024-10-07 17:10:21,9.563325
2024-10-07 17:11:21,9.5712
2024-10-07 17:12:21,9.579075
2024-10-07 17:13:21,9.58995
2024-10-07 17:14:21,9.5925
2024-10-07 17:15:21,9.5925
2024-10-07 17:16:21,9.5925
2024-10-07 17:17:21,9.5925
2024-10-07 17:18:21,9.5925
2024-10-07 17:19:21,9.5925
2024-10-07 17:20:21,9.5925
2024-10-07 17:21:21,9.5925
2024-10-07 17:22:21,9.5925
2024-10-07 17:23:21,9.5925
2024-10-07 17:24:21,9.5925
2024-10-07 17:25:21,9.5925
2024-10-07 17:26:21,9.5925
2024-10-07 17:27:21,9.5925
2024-10-07 17:28:21,9.5925
2024-10-07 17:29:21,9.5925
2024-10-07 17:30:21,9.5925
2024-10-07 17:31:21,9.5925
2024-10-07 17:32:21,9.5925
2024-10-07 17:33:21,9.5925
2024-10-07 17:34:21,9.5925
2024-10-07 17:35:21,9.5925
2024-10-07 17:36:21,9.5925
2024-10-07 17:37:21,9.5925
2024-10-07 17:38:21,9.5925
2024-10-07 17:39:21,9.5925
2024-10-07 17:40:21,9.5925
2024-10-07 17:41:21,9.5925
2024-10-07 17:42:21,9.5925
2024-10-07 17:43:21,9.5925
2024-10-07 17:44:21,9.5925
2024-10-07 17:45:21,9.5925
2024-10-07 17:46:21,9.5925
2024-10-07 17:47:21,9.5925
2024-10-07 17:48:21,9.5925
2024-10-07 17:49:21,9.5925
2024-10-07 17:50:21,9.5925
2024-10-07 17:51:21,9.5925
2024-10-07 17:52:21,9.5925
2024-10-07 17:53:21,9.5925
2024-10-07 17:54:21,9.5925
2024-10-07 17:55:21,9.5925
2024-10-07 17:56:21,9.5925
2024-10-07 17:57:21,9.5925
2024-10-07 17:58:21,9.5925
2024-10-07 17:59:21,9.5925
2024-10-07 18:00:21,9.5925
2024-10-07 18:01:21,9.5925
2024-10-07 18:02:21,9.5925
2024-10-07 18:03:21,9.5925
2024-10-07 18:04:21,9.5925
2024-10-07 18:05:21,9.5925
2024-10-07 18:06:21,9.5925
2024-10-07 18:07:21,9.5925
2024-10-07 18:08:21,9.5925
2024-10-07 18:09:21,9.5925
2024-10-07 18:10:21,9.5925
2024-10-07 18:11:21,9.5925
2024-10-07 18:12:21,9.5925
2024-10-07 18:13:21,9.5925
2024-10-07 18:14:21,9.5925
2024-10-07 18:15:21,9.5925
2024-10-07 18:16:21,9.5925
2024-10-07 18:17:21,9.5925
2024-10-07 18:18:21,9.5925
2024-10-07 18:19:21,9.5925
2024-10-07 18:20:21,9.5925
2024-10-07 18:21:21,9.5925
2024-10-07 18:22:21,9.5925
2024-10-07 18:23:21,9.5925
2024-10-07 18:24:21,9.5925
2024-10-07 18:25:21,9.5925
2024-10-07 18:26:21,9.5925
2024-10-07 18:27:21,9.5925
2024-10-07 18:28:21,9.5925
2024-10-07 18:29:21,9.5925
2024-10-07 18:30:21,9.5925
2024-10-07 18:31:21,9.5925
2024-10-07 18:32:21,9.5925
2024-10-07 18:33:21,9.58815
2024-10-07 18:34:21,9.587025
2024-10-07 18:35:21,9.5859
2024-10-07 18:36:21,9.584775
2024-10-07 18:37:21,9.58365
2024-10-07 18:38:21,9.586875
2024-10-07 18:39:21,9.586875
2024-10-07 18:40:21,9.586875
2024-10-07 18:41:21,9.586875
2024-10-07 18:42:21,9.586875
2024-10-07 18:43:21,9.586875
2024-10-07 18:44:21,9.586875
2024-10-07 18:45:21,9.586875
2024-10-07 18:46:21,9.586875
2024-10-07 18:47:21,9.586875
2024-10-07 18:48:21,9.586875
2024-10-07 18:49:22,9.586875
2024-10-07 18:50:22,9.586875
2024-10-07 18:51:22,9.586875
2024-10-07 18:52:22,9.586875
2024-10-07 18:53:22,9.586875
2024-10-07 18:54:22,9.586875
2024-10-07 18:55:22,9.586875
2024-10-07 18:56:22,9.586875
2024-10-07 18:57:22,9.586875
2024-10-07 18:58:22,9.586875
2024-10-07 18:59:22,9.586875
2024-10-07 19:00:22,9.586875
2024-10-07 19:01:22,9.586875
2024-10-07 19:02:22,9.586875
2024-10-07 19:03:22,9.586875
2024-10-07 19:04:22,9.586875
2024-10-07 19:05:22,9.586875
2024-10-07 19:06:22,9.586875
2024-10-07 19:07:22,9.586875
2024-10-07 19:08:22,9.586875
2024-10-07 19:09:22,9.586875
2024-10-07 19:10:22,9.586875
2024-10-07 19:11:22,9.586875
2024-10-07 19:12:22,9.586875
2024-10-07 19:13:22,9.586875
2024-10-07 19:14:22,9.586875
2024-10-07 19:15:22,9.586875
2024-10-07 19:16:22,9.579
2024-10-07 19:17:22,9.575775
2024-10-07 19:18:22,9.575025
2024-10-07 19:19:22,9.574275
2024-10-07 19:20:22,9.573525
2024-10-07 19:21:22,9.58065
2024-10-07 19:22:22,9.583125
2024-10-07 19:23:22,9.583125
2024-10-07 19:24:22,9.583125
2024-10-07 19:25:22,9.583125
2024-10-07 19:26:22,9.583125
2024-10-07 19:27:22,9.583125
2024-10-07 19:28:22,9.583125
2024-10-07 19:29:22,9.583125
2024-10-07 19:30:22,9.583125
2024-10-07 19:31:22,9.583125
2024-10-07 19:32:22,9.583125
2024-10-07 19:33:22,9.583125
2024-10-07 19:34:22,9.583125
2024-10-07 19:35:22,9.583125
2024-10-07 19:36:22,9.583125
2024-10-07 19:37:22,9.583125
2024-10-07 19:38:22,9.583125
2024-10-07 19:39:22,9.583125
2024-10-07 19:40:22,9.583125
2024-10-07 19:41:22,9.583125
2024-10-07 19:42:22,9.583125
2024-10-07 19:43:22,9.583125
2024-10-07 19:44:22,9.583125
2024-10-07 19:45:22,9.583125
2024-10-07 19:46:22,9.583125
2024-10-07 19:47:22,9.583125
2024-10-07 19:48:22,9.583125
2024-10-07 19:49:22,9.583125
2024-10-07 19:50:22,9.583125
2024-10-07 19:51:22,9.583125
2024-10-07 19:52:22,9.583125
2024-10-07 19:53:22,9.583125
2024-10-07 19:54:22,9.583125
2024-10-07 19:55:22,9.583125
2024-10-07 19:56:22,9.583125
2024-10-07 19:57:23,9.583125
2024-10-07 19:58:23,9.583125
2024-10-07 19:59:23,9.583125
2024-10-07 20:00:23,9.575175
2024-10-07 20:01:23,9.569175
2024-10-07 20:02:23,9.563175
2024-10-07 20:03:23,9.557175
2024-10-07 20:04:23,9.551175
2024-10-07 20:05:23,9.553125
2024-10-07 20:06:23,9.553125
2024-10-07 20:07:23,9.553125
2024-10-07 20:08:23,9.553125
2024-10-07 20:09:23,9.553125
2024-10-07 20:10:23,9.553125
2024-10-07 20:11:23,9.553125
2024-10-07 20:12:23,9.553125
2024-10-07 20:13:23,9.553125
2024-10-07 20:14:23,9.553125
2024-10-07 20:15:23,9.553125
2024-10-07 20:16:23,9.553125
2024-10-07 20:17:23,9.553125
2024-10-07 20:18:23,9.553125
2024-10-07 20:19:23,9.553125
2024-10-07 20:20:23,9.553125
2024-10-07 20:21:23,9.553125
2024-10-07 20:22:23,9.553125
2024-10-07 20:23:23,9.553125
2024-10-07 20:24:23,9.553125
2024-10-07 20:25:23,9.553125
2024-10-07 20:26:23,9.549375
2024-10-07 20:27:23,9.545625
2024-10-07 20:28:23,9.541875
2024-10-07 20:29:23,9.538125
2024-10-07 20:30:23,9.534375
2024-10-07 20:31:23,9.534375
2024-10-07 20:32:23,9.534375
2024-10-07 20:33:23,9.534375
2024-10-07 20:34:23,9.534375
2024-10-07 20:35:23,9.534375
2024-10-07 20:36:23,9.534375
2024-10-07 20:37:23,9.534375
2024-10-07 20:38:23,9.534375
2024-10-07 20:39:23,9.534375
2024-10-07 20:40:23,9.534375
2024-10-07 20:41:23,9.534375
2024-10-07 20:42:23,9.534375
2024-10-07 20:43:23,9.534375
2024-10-07 20:44:23,9.534375
2024-10-07 20:45:23,9.534375
2024-10-07 20:46:23,9.534375
2024-10-07 20:47:23,9.534375
2024-10-07 20:48:23,9.534375
2024-10-07 20:49:23,9.534375
2024-10-07 20:50:23,9.534375
2024-10-07 20:51:23,9.534375
2024-10-07 20:52:23,9.534375
2024-10-07 20:53:23,9.534375
2024-10-07 20:54:23,9.534375
2024-10-07 20:55:23,9.534375
2024-10-07 20:56:23,9.534375
2024-10-07 20:57:23,9.534375
2024-10-07 20:58:23,9.534375
2024-10-07 20:59:23,9.534375
2024-10-07 21:00:23,9.534375
2024-10-07 21:01:23,9.534375
2024-10-07 21:02:23,9.534375
2024-10-07 21:03:23,9.5331
2024-10-07 21:04:23,9.53865
2024-10-07 21:05:23,9.548025
2024-10-07 21:06:23,9.5574
2024-10-07 21:07:23,9.566775
2024-10-07 21:08:23,9.577425
2024-10-07 21:09:23,9.58125
